sku,name,price,short_description
PP-BOYSPURPLEPOLO,"Par Plus Boys Purple Junior Golf Polo Shirt",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSFUSIONPOLO-S," Par Plus Boys Fusion Junior Golf Polo Shirt - 06/08 - Small",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSFUSIONPOLO-M," Par Plus Boys Fusion Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSFUSIONPOLO-L," Par Plus Boys Fusion Junior Golf Polo Shirt - 14/16 - Large",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSFUSIONPOLO-XL," Par Plus Boys Fusion Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSFUSIONPOLO,"Par Plus Boys Fusion Junior Golf Polo Shirt",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSGREENPOLO-S,"Par Plus Boys Green Junior Golf Polo Shirt - 06/08 - Small",30.0000,"Ready for your kids golf clothes to match their golf game?  Here's a bright green golf shirt that will set your junior golfer apart from the rest of the team.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSGREENPOLO-M,"Par Plus Boys Green Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"Ready for your kids golf clothes to match their golf game?  Here's a bright green golf shirt that will set your junior golfer apart from the rest of the team.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSGREENPOLO-L,"Par Plus Boys Green Junior Golf Polo Shirt - 14/16 - Large",30.0000,"Ready for your kids golf clothes to match their golf game?  Here's a bright green golf shirt that will set your junior golfer apart from the rest of the team.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSGREENPOLO-XL,"Par Plus Boys Green Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"Ready for your kids golf clothes to match their golf game?  Here's a bright green golf shirt that will set your junior golfer apart from the rest of the team.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSGREENPOLO,"Par Plus Boys Green Junior Golf Polo Shirt",30.0000,"Ready for your kids golf clothes to match their golf game?  Here's a bright green golf shirt that will set your junior golfer apart from the rest of the team.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSBNWSHORTS-S,"Par Plus Black and White Boys Junior Golf Shorts - 06/08 - Small",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBNWSHORTS-M,"Par Plus Black and White Boys Junior Golf Shorts - 10/12 - Medium",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBNWSHORTS-L,"Par Plus Black and White Boys Junior Golf Shorts - 14/16 - Large",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBNWSHORTS-XL,"Par Plus Black and White Boys Junior Golf Shorts - 18/20 - X-Large",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBNWSHORTS,"Par Plus Black and White Boys Junior Golf Shorts",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBLACKSHORTS-S,"Par Plus Boys Black Junior Golf Shorts - 06/08 - Small",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBLACKSHORTS-M,"Par Plus Boys Black Junior Golf Shorts - 10/12 - Medium",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBLACKSHORTS-L,"Par Plus Boys Black Junior Golf Shorts - 14/16 - Large",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBLACKSHORTS-XL,"Par Plus Boys Black Junior Golf Shorts - 18/20 - X-Large",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSBLACKSHORTS,"Par Plus Boys Black Junior Golf Shorts",33.0000,"These great looking boys golf shorts have a front zipper and button.  The shorts are comfortable and have a stylish 4 pocket design.  85% cotton 15% polyester"
PP-BOYSCOLOREDSHORTS-S,"Par Plus Boys Colored Junior Golf Shorts - Small",33.0000,"Even John Daly would be proud to wear these fantastic looking boys golf shorts.  Pair these shorts with any number of our junior golf shirts for a bold, yet stylish statement about your golf game.  These shorts have a front zipper and button, and a stylish 4 pocket design.  85% cotton 15% polyester."
PP-BOYSCOLOREDSHORTS-M,"Par Plus Boys Colored Junior Golf Shorts - Medium",33.0000,"Even John Daly would be proud to wear these fantastic looking boys golf shorts.  Pair these shorts with any number of our junior golf shirts for a bold, yet stylish statement about your golf game.  These shorts have a front zipper and button, and a stylish 4 pocket design.  85% cotton 15% polyester."
PP-BOYSCOLOREDSHORTS-L,"Par Plus Boys Colored Junior Golf Shorts - Large",33.0000,"Even John Daly would be proud to wear these fantastic looking boys golf shorts.  Pair these shorts with any number of our junior golf shirts for a bold, yet stylish statement about your golf game.  These shorts have a front zipper and button, and a stylish 4 pocket design.  85% cotton 15% polyester."
PP-BOYSCOLOREDSHORTS-XL,"Par Plus Boys Colored Junior Golf Shorts- X-Large",33.0000,"Even John Daly would be proud to wear these fantastic looking boys golf shorts.  Pair these shorts with any number of our junior golf shirts for a bold, yet stylish statement about your golf game.  These shorts have a front zipper and button, and a stylish 4 pocket design.  85% cotton 15% polyester."
PP-BOYSCOLOREDSHORTS,"Par Plus Boys Colored Junior Golf Shorts",33.0000,"Even John Daly would be proud to wear these fantastic looking boys golf shorts.  Pair these shorts with any number of our junior golf shirts for a bold, yet stylish statement about your golf game.  These shorts have a front zipper and button, and a stylish 4 pocket design.  85% cotton 15% polyester."
PP-GIRLSBLUEPOLO-S,"Par Plus Girls Blue Junior Golf Polo Shirt - 06/08 - Small",30.0000,"A simple, yet stylish girls golf shirt for the junior golfer who wants to look her best while competing on the golf course.  This moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable all day.  Stylish logo on the sleeve, 100% polyester"
PP-GIRLSBLUEPOLO-M,"Par Plus Girls Blue Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"A simple, yet stylish girls golf shirt for the junior golfer who wants to look her best while competing on the golf course.  This moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable all day.  Stylish logo on the sleeve, 100% polyester"
PP-GIRLSBLUEPOLO-L,"Par Plus Girls Blue Junior Golf Polo Shirt - 14/16 - Large",30.0000,"A simple, yet stylish girls golf shirt for the junior golfer who wants to look her best while competing on the golf course.  This moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable all day.  Stylish logo on the sleeve, 100% polyester"
PP-GIRLSBLUEPOLO-XL,"Par Plus Girls Blue Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"A simple, yet stylish girls golf shirt for the junior golfer who wants to look her best while competing on the golf course.  This moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable all day.  Stylish logo on the sleeve, 100% polyester"
PP-GIRLSBLUEPOLO,"Par Plus Girls Blue Junior Golf Polo Shirt",30.0000,"A simple, yet stylish girls golf shirt for the junior golfer who wants to look her best while competing on the golf course.  This moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable all day.  Stylish logo on the sleeve, 100% polyester"
PP-GIRLSFUSIONPOLO-S,"Par Plus Girls Fusion Junior Golf Polo Shirt - 06/08 - Small",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSFUSIONPOLO-M,"Par Plus Girls Fusion Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSFUSIONPOLO-L,"Par Plus Girls Fusion Junior Golf Polo Shirt - 14/16 - Large",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSFUSIONPOLO-XL,"Par Plus Girls Fusion Junior Golf Polo Shirt - Large (14)",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSFUSIONPOLO,"Par Plus Girls Fusion Junior Golf Polo Shirt",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSGREENPOLO-S,"Par Plus Girls Green Junior Golf Polo Shirt - 06/08 - Small",30.0000,"Let your little girl stand make a statement with this bright colored girls golf shirt.  Not only will her game set her apart from her teamates, but so will her stylish golf clothes! This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSGREENPOLO-M,"Par Plus Girls Green Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"Let your little girl stand make a statement with this bright colored girls golf shirt.  Not only will her game set her apart from her teamates, but so will her stylish golf clothes! This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSGREENPOLO-L,"Par Plus Girls Green Junior Golf Polo Shirt - 14/16 - Large",30.0000,"Let your little girl stand make a statement with this bright colored girls golf shirt.  Not only will her game set her apart from her teamates, but so will her stylish golf clothes! This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSGREENPOLO-XL,"Par Plus Girls Green Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"Let your little girl stand make a statement with this bright colored girls golf shirt.  Not only will her game set her apart from her teamates, but so will her stylish golf clothes! This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSGREENPOLO,"Par Plus Girls Green Junior Golf Polo Shirt",30.0000,"Let your little girl make a statement with this bright colored girls golf shirt.  Not only will her game set her apart from her teamates, but so will her stylish golf clothes! This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSORANGEPOLO-S,"Par Plus Girls Orange Junior Golf Polo Shirt - 06/08 - Small",30.0000,"Want to look your best?  This orange girls golf shirt will do the trick!  Look great on the golf course without spending a fortune to do it!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSORANGEPOLO-M,"Par Plus Girls Orange Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"Want to look your best?  This orange girls golf shirt will do the trick!  Look great on the golf course without spending a fortune to do it!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSORANGEPOLO-L,"Par Plus Girls Orange Junior Golf Polo Shirt - 14/16 - Large",30.0000,"Want to look your best?  This orange girls golf shirt will do the trick!  Look great on the golf course without spending a fortune to do it!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSORANGEPOLO-XL,"Par Plus Girls Orange Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"Want to look your best?  This orange girls golf shirt will do the trick!  Look great on the golf course without spending a fortune to do it!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSORANGEPOLO,"Par Plus Girls Orange Junior Golf Polo Shirt",30.0000,"Want to look your best?  This orange girls golf shirt will do the trick!  Look great on the golf course without spending a fortune to do it!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSPURPLEPOLO-S,"Par Plus Girls Purple Junior Golf Polo Shirt - 06/08 - Small",30.0000,"Youthful and sophisicated, and great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSPURPLEPOLO-M,"Par Plus Girls Purple Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"Youthful and sophisicated, and great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSPURPLEPOLO-L,"Par Plus Girls Purple Junior Golf Polo Shirt - 14/16 - Large",30.0000,"Youthful and sophisicated, and great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSPURPLEPOLO-XL,"Par Plus Girls Purple Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"Youthful and sophisicated, and great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSPURPLEPOLO,"Par Plus Girls Purple Junior Golf Polo Shirt",30.0000,"Youthful and sophisicated, and great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This girls golf shirt has a stylish logo, 2 button front, moisture wicking material, and is 100% polyester."
PP-GIRLSBNWSKORT-S,"Par Plus Girls Black and White Junior Golf Fashion Skort  - 06/08 - Small",33.0000,"Want your little girls attire to match the level of her game?  Check out these great girls golf skorts.  Make her style like her game, UNSTOPPABLE!  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBNWSKORT-M,"Par Plus Girls Black and White Junior Golf Fashion Skort  - 10/12 - Medium",33.0000,"Want your little girls attire to match the level of her game?  Check out these great girls golf skorts.  Make her style like her game, UNSTOPPABLE!  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBNWSKORT-L,"Par Plus Girls Black and White Junior Golf Fashion Skort  - 14/16 - Large",33.0000,"Want your little girls attire to match the level of her game?  Check out these great girls golf skorts.  Make her style like her game, UNSTOPPABLE!  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBNWSKORT-XL,"Par Plus Girls Black and White Junior Golf Fashion Skort  - 18/20 - X-Large",33.0000,"Want your little girls attire to match the level of her game?  Check out these great girls golf skorts.  Make her style like her game, UNSTOPPABLE!  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBNWSKORT,"Par Plus Girls Black and White Junior Golf Fashion Skort ",33.0000,"Want your little girls attire to match the level of her game?  Check out these great girls golf skorts.  Make her style like her game, UNSTOPPABLE!  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBLACKSKORT-S,"Par Plus Girls Black Junior Golf Fashion Skort - Small",33.0000,"These ladies golf skorts are comfortable and stylish for any young junior golfer.  This timeless fashion will match any of our golf shirts.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBLACKSKORT-M,"Par Plus Girls Black Junior Golf Fashion Skort - Medium",33.0000,"These ladies golf skorts are comfortable and stylish for any young junior golfer.  This timeless fashion will match any of our golf shirts.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBLACKSKORT-L,"Par Plus Girls Black Junior Golf Fashion Skort - Large",33.0000,"These ladies golf skorts are comfortable and stylish for any young junior golfer.  This timeless fashion will match any of our golf shirts.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBLACKSKORT-XL,"Par Plus Girls Black Junior Golf Fashion Skort -X-Large",33.0000,"These ladies golf skorts are comfortable and stylish for any young junior golfer.  This timeless fashion will match any of our golf shirts.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSBLACKSKORT,"Par Plus Girls Black Junior Golf Fashion Skort ",33.0000,"These ladies golf skorts are comfortable and stylish for any young junior golfer.  This timeless fashion will match any of our golf shirts.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSCOLOREDSKORT-S,"Par Plus Girls Colored Junior Golf Fashion Skort  - 06/08 - Small",33.0000,"This stylish women's golf skort are fashionable and functional.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSCOLOREDSKORT-M,"Par Plus Girls Colored Junior Golf Fashion Skort  - 10/12 - Medium",33.0000,"This stylish women's golf skort are fashionable and functional.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSCOLOREDSKORT-L,"Par Plus Girls Colored Junior Golf Fashion Skort  - 14/16 - Large",33.0000,"This stylish women's golf skort are fashionable and functional.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSCOLOREDSKORT-XL,"Par Plus Girls Colored Junior Golf Fashion Skort  - 18/20 - X-Large",33.0000,"This stylish women's golf skort are fashionable and functional.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSCOLOREDSKORT,"Par Plus Girls Colored Junior Golf Fashion Skort ",33.0000,"This stylish women's golf skort are fashionable and functional.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSPINKSKORT-S,"Par Plus Girls Pink Dots Junior Golf Fashion Skort - 06/08 - Small",33.0000,"Make a style statement on the golf course with these pink dots girls golf skort.  Pair this with any of our girls junior golf polo's for a functional and comfortable outfit for any golf outing.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSPINKSKORT-M,"Par Plus Girls Pink Dots Junior Golf Fashion Skort - 10/12 - Medium",33.0000,"Make a style statement on the golf course with these pink dots girls golf skort.  Pair this with any of our girls junior golf polo's for a functional and comfortable outfit for any golf outing.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSPINKSKORT-L,"Par Plus Girls Pink Dots Junior Golf Fashion Skort - 14/16 - Large",33.0000,"Make a style statement on the golf course with these pink dots girls golf skort.  Pair this with any of our girls junior golf polo's for a functional and comfortable outfit for any golf outing.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSPINKSKORT-XL,"Par Plus Girls Pink Dots Junior Golf Fashion Skort - 18/20 - X-Large",33.0000,"Make a style statement on the golf course with these pink dots girls golf skort.  Pair this with any of our girls junior golf polo's for a functional and comfortable outfit for any golf outing.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-GIRLSPINKSKORT,"Par Plus Girls Pink Dots Junior Golf Fashion Skort",33.0000,"Make a style statement on the golf course with these pink dots girls golf skort.  Pair this with any of our girls junior golf polo's for a functional and comfortable outfit for any golf outing.  Girls Skorts come with inner stretch pants, front zipper and button, adjustable waisband, Lycra inner shorts for comfort, a stylish 4 pocket design, 85% cotton 15% polyester."
PP-BNWREVBELT-S,"Par Plus Black and White Reversible Junior Golf Belt - 06/08 - Small",12.0000,"A required accessory for any well put together golf outfit.  This junior golf belt is reversible and comes in black and white.  The stylish logo on the buckle lets your friends know you came to play some serious golf!"
PP-BNWREVBELT-M,"Par Plus Black and White Reversible Junior Golf Belt - 10/12 - Medium",12.0000,"A required accessory for any well put together golf outfit.  This junior golf belt is reversible and comes in black and white.  The stylish logo on the buckle lets your friends know you came to play some serious golf!"
PP-BNWREVBELT-L,"Par Plus Black and White Reversible Junior Golf Belt - 14/16 - Large",12.0000,"A required accessory for any well put together golf outfit.  This junior golf belt is reversible and comes in black and white.  The stylish logo on the buckle lets your friends know you came to play some serious golf!"
PP-BNWREVBELT-XL,"Par Plus Black and White Reversible Junior Golf Belt - 18/20 - X-Large",12.0000,"A required accessory for any well put together golf outfit.  This junior golf belt is reversible and comes in black and white.  The stylish logo on the buckle lets your friends know you came to play some serious golf!"
PP-BNWREVBELT,"Par Plus Black and White Reversible Junior Golf Belt",12.0000,"A required accessory for any well put together golf outfit.  This junior golf belt is reversible and comes in black and white.  The stylish logo on the buckle lets your friends know you came to play some serious golf!"
DM-01,"DivotMat Practice Tee Box Standard Set",99.9500,"The only Practice/Training tool that shows you instantly what your club is doing at the precise instant it hits the ball. This is the secret to FAST improvement to your ball striking. See exactly what’s happening at the moment of impact then intuitively make adjustments to your swing, stance, grip, and try again getting immediate feedback of how those changes affected your swing at impact. The standard set includes the DivotMat tee box, 1 pack of DivotMat replacement sheets, 2 instructional DVDs, and the DivotMat travel bag."
DM-C-01,"DivotMat Practice Golf Club - 5 Iron",49.9900,"A high quality cavity back 5 iron comes with a modified collapsible shaft which locks in place with a slight pull. When collapsed it fits conveniently in the DivotMat carry bag, or even your brief case for practice anywhere, anytime. "
DM-C-01-RIGHT,"DivotMat Practice Golf Club - 5 Iron - Right",99.9800,"A high quality cavity back 5 iron comes with a modified collapsible shaft which locks in place with a slight pull. When collapsed it fits conveniently in the DivotMat carry bag, or even your brief case for practice anywhere, anytime. "
DM-C-01-LEFT,"DivotMat Practice Golf Club - 5 Iron - Left",99.9800,"A high quality cavity back 5 iron comes with a modified collapsible shaft which locks in place with a slight pull. When collapsed it fits conveniently in the DivotMat carry bag, or even your brief case for practice anywhere, anytime. "
DM-RP-01,"DivotMat Practice Tee Box Refill Pack",29.9500,"This pack of 36 DivotMat replacement sheets is enough for months of practice! The DivotMat replacement sheets are made from rip-resistant durable material that allows them to be struck over and over. We recommend hitting each sheet approximately 30-40 times."
